Date : 2026-03-24 16:19:31
Directory : c:\Users\HP\Desktop\project\Project 2
Total : 118 files,  26924 codes, 40 comments, 402 blanks, all 27366 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\popover.tsx            | TypeScript JSX     |         79 |          0 |         11 |         90 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\theme-provider.tsx     | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\lib\utils.ts                         | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\type.ts                              | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\HP\Desktop\project\Project 2\frontend\tsconfig.json                            | JSON with Comments |         34 |          0 |          1 |         35 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\app.js                         | JavaScript         |          7 |          2 |          1 |         10 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\controllers\auth.js            | JavaScript         |        135 |          3 |          1 |        139 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\index.js                       | JavaScript         |         62 |          0 |          1 |         63 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\middleware\multer.js           | JavaScript         |          4 |          0 |          1 |          5 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\producer.js                    | JavaScript         |         57 |          0 |          1 |         58 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\routes\auth.js                 | JavaScript         |          9 |          0 |          1 |         10 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\utils\ErrorHandler.js          | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\utils\TryCatch.js              | JavaScript         |         21 |          0 |          1 |         22 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\utils\buffer.js                | JavaScript         |          8 |          0 |          1 |          9 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\utils\db.js                    | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\dist\utils\forgotpassword.js        | JavaScript         |        159 |          0 |          1 |        160 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\package-lock.json                   | JSON               |      2,444 |          0 |          1 |      2,445 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\package.json                        | JSON               |         40 |          0 |          1 |         41 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\app.ts                          | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\controllers\auth.ts             | TypeScript         |        138 |          3 |         19 |        160 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\index.ts                        | TypeScript         |         62 |          0 |         13 |         75 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\middleware\multer.ts            | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\producer.ts                     | TypeScript         |         57 |          0 |          6 |         63 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\routes\auth.ts                  | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\utils\ErrorHandler.ts           | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\utils\TryCatch.ts               | TypeScript         |         19 |          0 |          1 |         20 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\utils\buffer.ts                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\utils\db.ts                     | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\src\utils\forgotpassword.ts         | TypeScript         |        159 |          0 |          0 |        159 |
| c:\Users\HP\Desktop\project\Project 2\services\auth\tsconfig.json                       | JSON with Comments |         12 |          0 |          0 |         12 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\app.js                          | JavaScript         |         11 |          0 |          1 |         12 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\controllers\job.js              | JavaScript         |        274 |          0 |          1 |        275 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\index.js                        | JavaScript         |         75 |          0 |          1 |         76 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\middleware\auth.js              | JavaScript         |         43 |          0 |          1 |         44 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\middleware\multer.js            | JavaScript         |          4 |          0 |          1 |          5 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\producer.js                     | JavaScript         |         57 |          0 |          1 |         58 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\routes\job.js                   | JavaScript         |         16 |          0 |          1 |         17 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\ErrorHandler.js           | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\TryCatch.js               | JavaScript         |         21 |          0 |          1 |         22 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\buffer.js                 | JavaScript         |          8 |          0 |          1 |          9 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\db.js                     | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\forgotpassword.js         | JavaScript         |        159 |          0 |          1 |        160 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\producer.js               | JavaScript         |         57 |          0 |          1 |         58 |
| c:\Users\HP\Desktop\project\Project 2\services\job\dist\utils\templateStatusupdation.js | JavaScript         |        117 |          0 |          1 |        118 |
| c:\Users\HP\Desktop\project\Project 2\services\job\package-lock.json                    | JSON               |      2,246 |          0 |          1 |      2,247 |
| c:\Users\HP\Desktop\project\Project 2\services\job\package.json                         | JSON               |         37 |          0 |          1 |         38 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\app.ts                           | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\controllers\job.ts               | TypeScript         |        283 |          0 |         34 |        317 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\index.ts                         | TypeScript         |         75 |          0 |          2 |         77 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\middleware\auth.ts               | TypeScript         |         64 |          0 |          6 |         70 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\middleware\multer.ts             | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\producer.ts                      | TypeScript         |         57 |          0 |          6 |         63 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\routes\job.ts                    | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\utils\ErrorHandler.ts            | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\utils\TryCatch.ts                | TypeScript         |         19 |          0 |          1 |         20 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\utils\buffer.ts                  | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\utils\db.ts                      | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\utils\forgotpassword.ts          | TypeScript         |        159 |          0 |          0 |        159 |
| c:\Users\HP\Desktop\project\Project 2\services\job\src\utils\templateStatusupdation.ts  | TypeScript         |        117 |          0 |          0 |        117 |
| c:\Users\HP\Desktop\project\Project 2\services\job\tsconfig.json                        | JSON with Comments |         12 |          0 |          0 |         12 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\controllers\user.js            | JavaScript         |        217 |          1 |          1 |        219 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\index.js                       | JavaScript         |         11 |          0 |          1 |         12 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\middleware\auth.js             | JavaScript         |         43 |          0 |          1 |         44 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\middleware\multer.js           | JavaScript         |          4 |          0 |          1 |          5 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\routes\user.js                 | JavaScript         |         15 |          0 |          1 |         16 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\utils\ErrorHandler.js          | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\utils\TryCatch.js              | JavaScript         |         21 |          0 |          1 |         22 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\utils\buffer.js                | JavaScript         |          8 |          0 |          1 |          9 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\utils\db.js                    | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\project\Project 2\services\user\dist\utils\forgotpassword.js        | JavaScript         |        159 |          0 |          1 |        160 |
| c:\Users\HP\Desktop\project\Project 2\services\user\package-lock.json                   | JSON               |      2,235 |          0 |          1 |      2,236 |
| c:\Users\HP\Desktop\project\Project 2\services\user\package.json                        | JSON               |         35 |          0 |          1 |         36 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\controllers\user.ts             | TypeScript         |        221 |          1 |         20 |        242 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\index.ts                        | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\middleware\auth.ts              | TypeScript         |         64 |          0 |          7 |         71 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\middleware\multer.ts            | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\routes\user.ts                  | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\utils\ErrorHandler.ts           | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\utils\TryCatch.ts               | TypeScript         |         19 |          0 |          1 |         20 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\utils\buffer.ts                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\utils\db.ts                     | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\HP\Desktop\project\Project 2\services\user\src\utils\forgotpassword.ts         | TypeScript         |        159 |          0 |          0 |        159 |
| c:\Users\HP\Desktop\project\Project 2\services\user\tsconfig.json                       | JSON with Comments |         12 |          0 |          0 |         12 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\dist\consumer.js                   | JavaScript         |         40 |          0 |          1 |         41 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\dist\index.js                      | JavaScript         |         19 |          2 |          1 |         22 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\dist\routes.js                     | JavaScript         |        196 |          0 |          1 |        197 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\package-lock.json                  | JSON               |      2,518 |          0 |          1 |      2,519 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\package.json                       | JSON               |         34 |          0 |          1 |         35 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\src\consumer.ts                    | TypeScript         |         40 |          0 |          9 |         49 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\src\index.ts                       | TypeScript         |         19 |          2 |          8 |         29 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\src\routes.ts                      | TypeScript         |        193 |          0 |         12 |        205 |
| c:\Users\HP\Desktop\project\Project 2\services\utils\tsconfig.json                      | JSON with Comments |         12 |          0 |          0 |         12 |
| Total                                                                                   |                    |     26,924 |         40 |        402 |     27,366 |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
